Distance,TransportationMode,WeatherConditions,TrafficConditions,FuelPrices,DeliveryTime,TransportationCompany,TransportationCost
112,Truck,Sunny,High,3.989549909,2,Company B,224
239,Ship,Rainy,Medium,3.933117837,5,Company B,358.5
174,Ship,Rainy,Medium,2.881478082,8,Company C,261
199,Ship,Snowy,Low,2.520806218,23,Company B,298.5
363,Air,Snowy,Low,3.676799276,2,Company B,1815
107,Ship,Rainy,High,3.431241434,2,Company B,160.5
391,Ship,Sunny,Low,3.37388287,9,Company B,586.5
354,Ship,Snowy,High,3.786227483,21,Company C,531
229,Truck,Sunny,Low,3.378834268,17,Company A,458
219,Truck,Sunny,High,2.567595886,22,Company A,438
375,Air,Snowy,High,3.387726324,14,Company A,1875
320,Air,Sunny,High,2.611627023,24,Company A,1600
103,Truck,Sunny,High,3.518477959,24,Company A,206
493,Air,Rainy,Medium,3.239495709,19,Company C,2465
150,Truck,Sunny,High,2.154823104,21,Company A,300
313,Ship,Rainy,Low,3.025670725,11,Company C,469.5
102,Ship,Snowy,Medium,2.686601938,13,Company C,153
109,Air,Snowy,Medium,2.657141265,2,Company A,545
157,Truck,Rainy,High,3.204512605,11,Company A,314
54,Truck,Snowy,Medium,2.644649649,10,Company A,108
152,Air,Sunny,High,3.553787496,4,Company B,760
245,Truck,Sunny,Low,2.141582872,20,Company C,490
311,Ship,Sunny,High,3.320776505,10,Company A,466.5
414,Air,Snowy,Medium,3.618389607,11,Company B,2070
421,Air,Sunny,Low,3.34566338,20,Company C,2105
399,Truck,Snowy,High,2.99445839,17,Company B,798
96,Air,Sunny,Low,3.900614027,19,Company B,480
404,Truck,Rainy,Low,2.59987698,15,Company A,808
360,Truck,Snowy,Medium,2.038335775,4,Company C,720
473,Truck,Snowy,Low,2.863978743,3,Company B,946
357,Truck,Sunny,Medium,2.066023872,2,Company C,714
193,Truck,Snowy,Low,3.907873505,19,Company A,386
318,Air,Snowy,High,2.419836091,10,Company C,1590
419,Ship,Rainy,Low,3.577854048,14,Company B,628.5
173,Ship,Rainy,High,3.549144166,3,Company B,259.5
155,Air,Sunny,High,2.435457799,8,Company C,775
207,Air,Rainy,Low,3.242453061,17,Company B,1035
196,Ship,Sunny,High,2.096157937,22,Company B,294
194,Ship,Sunny,Low,2.967149171,20,Company B,291
169,Ship,Sunny,Low,2.029294255,16,Company A,253.5
368,Ship,Snowy,High,3.84228776,23,Company A,552
324,Ship,Rainy,High,3.952172048,12,Company B,486
141,Truck,Sunny,Medium,2.444565533,2,Company C,282
107,Air,Rainy,High,2.416212069,22,Company A,535
488,Truck,Sunny,Medium,3.507440353,8,Company C,976
395,Ship,Rainy,High,2.506758798,21,Company B,592.5
278,Ship,Rainy,Low,3.790153118,9,Company B,417
166,Ship,Sunny,High,3.147858272,11,Company C,249
367,Truck,Snowy,Low,2.701555246,6,Company A,734
328,Truck,Rainy,Low,3.665387493,10,Company C,656
176,Ship,Snowy,Low,2.986813401,2,Company C,264
442,Truck,Snowy,Medium,3.823265827,3,Company B,884
445,Truck,Sunny,High,3.856028473,20,Company A,890
178,Ship,Sunny,Low,2.330840304,15,Company C,267
107,Truck,Sunny,Low,2.004646812,21,Company A,214
171,Air,Rainy,Medium,3.96786188,11,Company B,855
50,Air,Sunny,High,3.812275072,10,Company A,250
288,Air,Sunny,High,2.110890471,11,Company B,1440
339,Air,Rainy,Medium,3.666068528,7,Company A,1695
145,Ship,Rainy,Medium,2.915609865,18,Company C,217.5
175,Ship,Sunny,High,2.51792321,7,Company B,262.5
167,Ship,Sunny,Medium,3.757493047,5,Company C,250.5
97,Air,Sunny,High,2.393334465,21,Company B,485
138,Air,Sunny,High,3.894599999,4,Company A,690
286,Truck,Snowy,Low,2.411242975,24,Company A,572
422,Truck,Snowy,Low,3.227366375,20,Company B,844
434,Air,Sunny,High,2.446172669,19,Company B,2170
321,Air,Snowy,High,3.09133733,5,Company B,1605
238,Air,Rainy,High,3.36795026,9,Company A,1190
241,Air,Snowy,High,2.380455862,18,Company B,1205
496,Truck,Snowy,High,3.041771565,6,Company B,992
118,Air,Sunny,High,2.938119489,14,Company C,590
327,Truck,Snowy,Medium,2.142074843,2,Company B,654
398,Air,Snowy,High,3.636615635,14,Company C,1990
296,Air,Snowy,Medium,2.671364801,5,Company C,1480
500,Air,Snowy,Medium,3.149164395,23,Company C,2500
125,Truck,Rainy,High,3.02956847,15,Company A,250
203,Truck,Sunny,High,3.026521009,4,Company C,406
193,Ship,Sunny,Medium,2.214444788,6,Company B,289.5
484,Air,Rainy,Medium,2.846964018,8,Company A,2420
135,Ship,Snowy,High,2.904733518,2,Company A,202.5
234,Ship,Rainy,High,3.467285681,24,Company A,351
334,Truck,Snowy,Medium,3.680037664,13,Company A,668
269,Truck,Rainy,Medium,3.089964556,12,Company A,538
118,Ship,Sunny,Medium,2.173565908,9,Company A,177
96,Air,Sunny,Low,2.473698941,7,Company A,480
143,Truck,Sunny,Medium,2.329868054,23,Company C,286
287,Air,Snowy,Low,2.249230126,3,Company B,1435
495,Air,Snowy,High,2.731798597,20,Company B,2475
253,Ship,Rainy,High,2.458787004,21,Company C,379.5
449,Ship,Rainy,Medium,2.436606224,21,Company C,673.5
267,Ship,Sunny,High,2.109386349,15,Company A,400.5
481,Ship,Snowy,High,2.03534009,2,Company A,721.5
390,Truck,Rainy,High,2.205536485,11,Company C,780
88,Truck,Snowy,High,2.344394959,17,Company A,176
149,Ship,Snowy,Low,2.861967458,5,Company B,223.5
338,Truck,Sunny,Low,3.021040523,12,Company B,676
303,Ship,Sunny,Medium,2.281183836,17,Company A,454.5
271,Air,Snowy,Medium,2.849566683,21,Company A,1355
406,Air,Snowy,Medium,2.683497685,2,Company A,2030
72,Air,Snowy,High,2.366847287,17,Company B,360
299,Ship,Snowy,High,2.013681496,20,Company A,448.5
59,Air,Sunny,Low,2.934035733,22,Company C,295
295,Truck,Rainy,Low,3.371303499,23,Company A,590
374,Air,Sunny,Medium,2.452554668,10,Company C,1870
149,Air,Rainy,Low,2.26361366,10,Company A,745
339,Air,Snowy,Low,3.774085489,10,Company A,1695
229,Truck,Rainy,Low,2.550049545,18,Company B,458
272,Ship,Sunny,Low,2.44722524,13,Company C,408
443,Truck,Sunny,Low,3.714193879,14,Company C,886
299,Ship,Snowy,Medium,3.634214198,9,Company C,448.5
196,Ship,Sunny,Medium,2.896692941,17,Company B,294
491,Air,Snowy,Low,2.978477723,19,Company C,2455
145,Ship,Sunny,Medium,2.43549741,2,Company B,217.5
306,Truck,Sunny,High,2.156603341,2,Company A,612
374,Truck,Snowy,Low,3.146863651,13,Company A,748
53,Ship,Rainy,High,2.196689843,7,Company C,79.5
65,Air,Sunny,Medium,2.898549094,10,Company A,325
329,Air,Rainy,Medium,3.880994397,24,Company A,1645
385,Truck,Sunny,High,3.905668778,6,Company C,770
296,Air,Sunny,Medium,2.478664573,17,Company A,1480
307,Ship,Sunny,Low,3.24822684,19,Company C,460.5
433,Ship,Sunny,High,2.948152528,18,Company C,649.5
209,Truck,Rainy,Low,3.751370255,19,Company A,418
389,Ship,Rainy,High,2.542861729,2,Company A,583.5
201,Truck,Sunny,Medium,2.007404814,20,Company A,402
445,Ship,Sunny,High,2.325122412,23,Company A,667.5
227,Truck,Rainy,High,2.699045602,9,Company A,454
212,Air,Snowy,Low,2.63144226,4,Company B,1060
429,Ship,Snowy,Medium,3.582725838,6,Company A,643.5
82,Ship,Rainy,Low,3.361121332,24,Company B,123
466,Truck,Sunny,Medium,2.599112639,9,Company C,932
494,Truck,Sunny,Low,2.915487634,20,Company A,988
228,Ship,Snowy,High,2.191118208,19,Company A,342
476,Truck,Snowy,Low,3.79629289,19,Company A,952
150,Ship,Rainy,Medium,3.870849649,22,Company C,225
317,Air,Snowy,Medium,3.959607071,2,Company B,1585
372,Truck,Rainy,High,3.737105662,16,Company B,744
114,Ship,Snowy,Medium,2.347921775,19,Company A,171
466,Air,Snowy,Low,2.092392966,8,Company A,2330
217,Air,Snowy,High,3.159193455,17,Company A,1085
379,Ship,Sunny,Medium,3.825210054,17,Company A,568.5
92,Truck,Sunny,Medium,2.354702723,16,Company C,184
93,Ship,Sunny,Low,2.014085829,7,Company A,139.5
334,Air,Snowy,Low,3.610992092,10,Company C,1670
446,Ship,Rainy,High,2.153591369,8,Company A,669
61,Truck,Rainy,Medium,2.827412064,15,Company B,122
144,Air,Rainy,Low,3.357774674,12,Company B,720
351,Ship,Rainy,High,2.473595171,22,Company A,526.5
435,Truck,Sunny,Medium,2.167925127,17,Company A,870
302,Air,Sunny,Medium,3.540042457,7,Company C,1510
291,Truck,Snowy,High,3.26035017,23,Company A,582
84,Air,Snowy,High,3.976980969,17,Company A,420
264,Ship,Rainy,Low,2.688616067,21,Company A,396
386,Truck,Sunny,Medium,2.123524773,17,Company B,772
139,Air,Rainy,Medium,3.468700071,13,Company C,695
313,Truck,Snowy,Medium,3.043466838,18,Company B,626
142,Truck,Snowy,High,2.426407863,6,Company C,284
459,Ship,Rainy,Low,3.563457978,14,Company B,688.5
139,Truck,Snowy,Medium,2.407510972,9,Company A,278
467,Air,Rainy,High,2.52132331,6,Company B,2335
164,Air,Sunny,Medium,2.185057109,13,Company B,820
154,Air,Rainy,Low,2.798864558,10,Company C,770
440,Air,Sunny,Medium,2.837858448,4,Company C,2200
245,Ship,Sunny,Low,3.029123581,4,Company B,367.5
363,Truck,Snowy,Low,3.417928534,2,Company C,726
163,Ship,Snowy,Medium,3.812201857,23,Company C,244.5
124,Truck,Snowy,Medium,2.275468198,19,Company C,248
462,Truck,Rainy,Low,2.108696197,13,Company C,924
425,Truck,Rainy,High,2.037062467,10,Company C,850
469,Ship,Snowy,Low,2.287242756,10,Company B,703.5
266,Truck,Rainy,Medium,3.315898972,19,Company C,532
326,Ship,Snowy,Medium,3.454954156,19,Company A,489
298,Air,Rainy,High,3.573011427,8,Company B,1490
213,Air,Sunny,Low,2.487416424,5,Company B,1065
443,Truck,Sunny,Low,2.611789627,14,Company B,886
406,Ship,Snowy,Low,2.966269291,18,Company C,609
457,Air,Rainy,Medium,2.126366194,3,Company A,2285
241,Ship,Rainy,Low,3.222283046,15,Company C,361.5
276,Ship,Sunny,High,3.967470067,4,Company B,414
226,Truck,Sunny,Medium,2.721612623,6,Company B,452
148,Air,Snowy,Medium,3.50569495,15,Company B,740
85,Truck,Sunny,Low,3.000067831,4,Company B,170
145,Truck,Snowy,High,2.255623689,24,Company C,290
201,Air,Sunny,Medium,3.164474898,8,Company A,1005
200,Air,Sunny,Medium,2.599748537,19,Company A,1000
239,Ship,Rainy,Low,2.068806417,14,Company B,358.5
273,Air,Sunny,Low,3.26985946,24,Company A,1365
86,Ship,Sunny,High,3.717864699,23,Company B,129
317,Ship,Snowy,Low,2.689539534,11,Company B,475.5
418,Ship,Sunny,High,2.780591094,14,Company A,627
232,Air,Snowy,Medium,3.782043366,17,Company B,1160
62,Truck,Sunny,High,3.627217627,10,Company A,124
328,Ship,Sunny,High,3.429905647,3,Company B,492
266,Truck,Snowy,High,2.497594128,24,Company A,532
404,Truck,Rainy,Medium,3.82043331,6,Company B,808
410,Air,Snowy,Low,2.308831515,23,Company A,2050
335,Truck,Snowy,Medium,3.253541039,18,Company B,670
322,Truck,Snowy,Low,2.057602361,24,Company B,644
418,Air,Rainy,High,3.287439613,23,Company B,2090
111,Ship,Sunny,High,2.554288704,5,Company A,166.5
133,Truck,Snowy,High,2.899353954,18,Company C,266
417,Air,Snowy,High,2.690529104,10,Company B,2085
266,Truck,Rainy,High,2.345513512,21,Company B,532
391,Truck,Snowy,Low,3.24396158,3,Company A,782
446,Ship,Sunny,Low,3.76395111,19,Company B,669
236,Truck,Rainy,High,3.918168485,22,Company B,472
68,Air,Sunny,Medium,2.384692726,23,Company B,340
226,Truck,Sunny,Medium,3.434745548,12,Company B,452
149,Ship,Rainy,High,3.328678733,14,Company C,223.5
445,Ship,Snowy,Low,2.686755579,9,Company C,667.5
494,Air,Sunny,Medium,2.038198399,2,Company B,2470
282,Ship,Sunny,Medium,3.379582495,18,Company B,423
452,Truck,Sunny,Medium,3.890989721,13,Company B,904
125,Ship,Sunny,High,3.264240244,5,Company C,187.5
314,Air,Rainy,Medium,2.870585448,22,Company C,1570
333,Ship,Rainy,Medium,3.050307788,14,Company A,499.5
255,Ship,Sunny,Medium,2.399257615,10,Company A,382.5
272,Ship,Snowy,Medium,3.501088328,8,Company B,408
433,Air,Sunny,Low,3.49283966,24,Company B,2165
101,Ship,Snowy,High,2.291034601,6,Company C,151.5
388,Ship,Sunny,High,3.755956765,6,Company B,582
416,Truck,Snowy,Low,2.538379479,18,Company B,832
193,Air,Sunny,Low,3.964512122,10,Company C,965
422,Ship,Snowy,High,2.765806028,7,Company C,633
118,Air,Sunny,Medium,2.355768117,20,Company C,590
148,Ship,Sunny,Medium,2.703440223,17,Company C,222
445,Ship,Snowy,High,2.880360657,22,Company A,667.5
74,Ship,Rainy,Medium,2.138615546,3,Company C,111
485,Truck,Snowy,Low,3.156436762,11,Company C,970
428,Truck,Rainy,Medium,3.19526488,17,Company B,856
102,Truck,Sunny,Medium,3.477860911,6,Company B,204
200,Air,Snowy,Medium,2.058339785,16,Company B,1000
193,Air,Snowy,High,3.082476429,14,Company A,965
106,Truck,Snowy,Low,2.105814867,14,Company C,212
88,Air,Rainy,Medium,3.40228844,14,Company C,440
158,Ship,Rainy,High,2.111455971,16,Company A,237
230,Ship,Sunny,Medium,3.823455697,15,Company C,345
91,Ship,Rainy,Low,3.404165134,9,Company B,136.5
235,Truck,Rainy,Medium,3.01477953,12,Company A,470
472,Air,Sunny,Low,2.883007847,19,Company C,2360
447,Truck,Snowy,Medium,2.261345261,5,Company A,894
272,Air,Snowy,Low,2.581998779,11,Company A,1360
171,Ship,Sunny,Medium,3.73791821,2,Company C,256.5
182,Truck,Snowy,Low,3.808905623,6,Company B,364
212,Air,Rainy,Medium,2.001495417,14,Company C,1060
264,Air,Sunny,Medium,3.188272783,2,Company C,1320
270,Ship,Sunny,High,3.438601218,24,Company B,405
284,Truck,Sunny,High,3.237493965,9,Company C,568
380,Truck,Snowy,Low,2.16335953,4,Company C,760
195,Truck,Sunny,Medium,2.435449798,4,Company C,390
288,Ship,Sunny,Low,2.500680535,8,Company A,432
125,Truck,Sunny,High,3.663449263,5,Company A,250
58,Ship,Snowy,Low,2.926398873,4,Company A,87
123,Ship,Rainy,Low,2.973656424,16,Company C,184.5
491,Ship,Sunny,High,3.869786093,9,Company B,736.5
450,Air,Rainy,Medium,3.274171778,4,Company A,2250
302,Truck,Snowy,Low,3.797335403,8,Company B,604
279,Truck,Snowy,High,2.913017711,19,Company C,558
56,Ship,Snowy,Medium,2.298872517,12,Company A,84
223,Ship,Snowy,High,3.859871188,12,Company C,334.5
190,Truck,Rainy,Low,2.917410231,18,Company B,380
217,Ship,Sunny,Medium,2.363262844,7,Company A,325.5
219,Truck,Snowy,Medium,2.604791481,9,Company A,438
442,Air,Snowy,High,2.101605179,2,Company A,2210
483,Ship,Rainy,High,2.936601183,11,Company A,724.5
332,Truck,Rainy,High,3.706256344,20,Company B,664
171,Ship,Snowy,Medium,3.867160912,4,Company A,256.5
243,Truck,Sunny,Medium,3.865204415,5,Company C,486
54,Truck,Sunny,Low,2.250460051,12,Company A,108
78,Ship,Snowy,Medium,2.764107765,16,Company B,117
214,Air,Rainy,Low,2.056457519,2,Company A,1070
471,Truck,Snowy,High,3.71033069,10,Company B,942
388,Truck,Snowy,High,2.717511524,12,Company B,776
185,Truck,Rainy,Medium,3.262234056,20,Company C,370
414,Air,Snowy,High,3.429796876,14,Company A,2070
370,Air,Snowy,High,2.859689339,17,Company A,1850
391,Ship,Snowy,Medium,2.612884673,5,Company A,586.5
194,Air,Rainy,Low,3.92442582,2,Company C,970
376,Ship,Sunny,Medium,3.92897645,21,Company C,564
266,Ship,Sunny,Low,2.578872736,14,Company B,399
350,Air,Rainy,Medium,2.959250193,2,Company B,1750
181,Ship,Sunny,Medium,3.945688317,6,Company B,271.5
341,Air,Snowy,High,2.009736815,6,Company C,1705
119,Ship,Sunny,Medium,2.825356497,15,Company C,178.5
301,Air,Snowy,Medium,2.200915099,24,Company C,1505
464,Air,Sunny,Low,3.018315931,15,Company B,2320
324,Ship,Rainy,High,2.049339909,9,Company C,486
494,Truck,Sunny,Low,2.813796863,5,Company B,988
413,Ship,Sunny,Low,2.44139815,8,Company B,619.5
231,Air,Sunny,High,3.066616725,21,Company A,1155
216,Truck,Rainy,High,3.991987298,20,Company A,432
140,Ship,Sunny,High,3.60107221,16,Company A,210
251,Ship,Rainy,Medium,3.691284183,23,Company B,376.5
395,Ship,Snowy,High,3.270529975,5,Company A,592.5
68,Truck,Sunny,High,2.083119697,20,Company A,136
88,Air,Rainy,High,2.413595352,10,Company A,440
175,Ship,Rainy,Low,3.850129113,22,Company C,262.5
500,Ship,Sunny,Low,2.732226236,14,Company B,750
222,Ship,Snowy,Medium,2.207273453,15,Company A,333
190,Ship,Rainy,Low,3.404810732,24,Company C,285
291,Ship,Sunny,Medium,2.598915448,15,Company C,436.5
269,Air,Snowy,Low,2.537713826,23,Company C,1345
175,Air,Rainy,High,3.995954911,11,Company A,875
107,Ship,Rainy,Low,3.71627785,17,Company C,160.5
197,Truck,Snowy,Medium,2.815875637,6,Company B,394
366,Air,Snowy,Low,3.960522416,24,Company C,1830
432,Truck,Sunny,High,3.300226447,7,Company C,864
410,Air,Sunny,Medium,3.484044904,3,Company C,2050
472,Ship,Rainy,High,2.063026086,14,Company C,708
50,Air,Snowy,High,2.243210519,14,Company B,250
436,Ship,Snowy,Medium,3.266170253,20,Company A,654
397,Air,Snowy,High,3.798047965,19,Company B,1985
239,Ship,Rainy,High,3.247487452,20,Company B,358.5
240,Ship,Snowy,Low,2.268049789,2,Company A,360
418,Ship,Snowy,High,2.231520092,9,Company C,627
458,Ship,Rainy,High,3.688371792,23,Company A,687
361,Truck,Sunny,High,2.278604677,17,Company A,722
466,Ship,Sunny,High,3.040463921,3,Company B,699
471,Truck,Rainy,Medium,2.07422664,9,Company A,942
166,Truck,Snowy,Low,2.161339535,7,Company C,332
183,Ship,Rainy,High,3.344696535,17,Company B,274.5
107,Truck,Sunny,High,3.378362821,24,Company C,214
93,Air,Sunny,Medium,2.682938813,12,Company B,465
222,Ship,Rainy,High,2.43121953,18,Company C,333
209,Truck,Rainy,Medium,3.627420542,24,Company A,418
222,Ship,Sunny,Low,2.434206459,20,Company A,333
366,Ship,Rainy,Low,3.084054139,12,Company A,549
352,Ship,Sunny,High,3.936417682,9,Company C,528
198,Truck,Rainy,High,2.295704876,23,Company B,396
129,Air,Rainy,High,3.881752535,5,Company B,645
423,Air,Rainy,Medium,2.365786106,12,Company B,2115
262,Truck,Sunny,High,3.134886416,9,Company A,524
252,Ship,Rainy,High,2.754015424,10,Company C,378
301,Truck,Sunny,Low,3.929857203,3,Company B,602
278,Truck,Sunny,High,2.547084058,17,Company C,556
213,Truck,Rainy,Low,2.799316004,7,Company B,426
276,Ship,Rainy,High,3.965720236,22,Company A,414
196,Truck,Sunny,Low,3.072940782,22,Company C,392
69,Ship,Sunny,High,3.005260231,20,Company B,103.5
490,Truck,Snowy,Low,2.515556976,9,Company B,980
451,Air,Sunny,Medium,3.402727121,15,Company B,2255
96,Truck,Snowy,Low,2.028745904,17,Company B,192
282,Truck,Snowy,Low,2.099025259,13,Company A,564
354,Air,Snowy,Low,3.198717174,6,Company B,1770
63,Ship,Rainy,High,2.683349148,20,Company B,94.5
192,Ship,Rainy,High,3.906632744,19,Company A,288
464,Truck,Sunny,High,3.806381381,10,Company B,928
50,Air,Snowy,Medium,3.427412517,3,Company C,250
422,Ship,Rainy,Medium,3.636291162,21,Company C,633
103,Truck,Rainy,Low,3.334663699,13,Company B,206
423,Air,Rainy,Medium,2.251164205,3,Company A,2115
308,Ship,Rainy,Low,3.531086739,11,Company A,462
193,Ship,Rainy,Low,2.420383937,2,Company A,289.5
490,Air,Snowy,Low,2.64688571,5,Company B,2450
61,Air,Snowy,Medium,3.638468424,13,Company B,305
379,Air,Snowy,High,3.073051217,10,Company C,1895
273,Air,Snowy,Medium,3.719881428,5,Company A,1365
321,Truck,Sunny,Low,2.42607064,10,Company B,642
407,Air,Snowy,Low,3.215556877,7,Company B,2035
457,Ship,Rainy,Medium,2.167581945,2,Company B,685.5
205,Ship,Snowy,Low,3.286121987,11,Company A,307.5
422,Truck,Sunny,Low,3.525068076,15,Company A,844
57,Ship,Rainy,Medium,3.169861788,23,Company C,85.5
171,Ship,Snowy,Medium,2.532463003,19,Company A,256.5
397,Air,Snowy,Medium,2.062685338,7,Company B,1985
213,Ship,Snowy,Low,2.238897768,19,Company C,319.5
139,Truck,Rainy,Low,3.244605958,21,Company A,278
185,Air,Rainy,High,3.868840434,17,Company A,925
235,Air,Sunny,High,2.413068808,16,Company A,1175
365,Truck,Rainy,Medium,3.470052298,17,Company A,730
227,Air,Rainy,High,3.732902126,9,Company B,1135
77,Air,Snowy,Low,3.041764357,14,Company A,385
269,Truck,Rainy,High,3.338531592,24,Company B,538
406,Air,Snowy,Low,3.630030633,12,Company B,2030
90,Truck,Snowy,Medium,2.521350315,8,Company B,180
277,Truck,Rainy,Medium,2.593791349,18,Company C,554
241,Ship,Sunny,Low,2.001255033,19,Company B,361.5
460,Ship,Sunny,High,3.926188262,23,Company A,690
496,Air,Rainy,Medium,3.835089789,24,Company C,2480
194,Air,Sunny,Medium,3.529136528,20,Company A,970
250,Truck,Snowy,High,2.158152042,14,Company B,500
466,Air,Snowy,High,2.895005779,16,Company A,2330
261,Truck,Rainy,Low,2.203783508,24,Company C,522
269,Truck,Sunny,High,2.031840535,23,Company C,538
289,Air,Sunny,High,3.23236593,23,Company A,1445
462,Truck,Snowy,High,3.921658834,2,Company A,924
446,Ship,Rainy,Low,3.805736047,17,Company A,669
95,Air,Sunny,Low,3.39350963,6,Company C,475
84,Ship,Rainy,Medium,2.193281168,4,Company B,126
302,Air,Sunny,Low,2.548328075,24,Company A,1510
439,Truck,Snowy,Medium,2.640113454,11,Company B,878
131,Air,Snowy,High,3.526300115,20,Company C,655
420,Ship,Rainy,Medium,3.604498358,6,Company A,630
305,Truck,Snowy,Medium,2.770212246,8,Company A,610
246,Air,Sunny,High,2.835767993,15,Company C,1230
352,Air,Snowy,Medium,2.089018079,4,Company A,1760
458,Air,Rainy,Low,2.578273437,14,Company B,2290
499,Ship,Rainy,Low,2.902570354,14,Company C,748.5
59,Ship,Rainy,Low,2.233966093,11,Company C,88.5
361,Air,Sunny,Low,2.906534922,3,Company A,1805
335,Truck,Sunny,Medium,3.706351625,7,Company C,670
291,Truck,Sunny,Medium,3.162642039,9,Company A,582
300,Ship,Sunny,High,2.15785971,5,Company A,450
414,Truck,Sunny,Medium,2.383342638,13,Company C,828
54,Ship,Snowy,Medium,2.9490887,16,Company A,81
168,Air,Sunny,Medium,2.7229743,9,Company B,840
338,Ship,Sunny,High,2.717454039,8,Company B,507
423,Ship,Snowy,Low,3.058534896,15,Company A,634.5
114,Air,Sunny,Medium,3.168791843,24,Company B,570
195,Truck,Rainy,High,3.593723141,20,Company A,390
273,Ship,Sunny,High,2.681933127,15,Company B,409.5
288,Ship,Sunny,High,3.610932566,23,Company C,432
226,Air,Rainy,Low,2.677222458,14,Company A,1130
316,Truck,Rainy,Medium,2.110865978,22,Company A,632
390,Ship,Rainy,High,3.108375302,2,Company A,585
331,Air,Rainy,Low,3.17580465,20,Company A,1655
112,Ship,Sunny,High,3.869080491,2,Company A,168
266,Air,Rainy,High,3.452122652,5,Company A,1330
391,Truck,Rainy,High,3.835545305,11,Company C,782
364,Truck,Snowy,High,3.81669442,4,Company C,728
332,Truck,Rainy,High,3.209148221,21,Company B,664
226,Truck,Rainy,Low,3.055524131,10,Company A,452
466,Ship,Snowy,Medium,3.114881934,4,Company B,699
147,Ship,Snowy,Medium,3.956661615,7,Company B,220.5
154,Truck,Sunny,Medium,3.546335383,7,Company C,308
148,Truck,Snowy,Medium,2.21253181,24,Company B,296
434,Truck,Sunny,Low,3.556856814,13,Company C,868
454,Ship,Snowy,Low,2.341076098,24,Company B,681
360,Truck,Snowy,Low,2.894701098,2,Company A,720
55,Truck,Sunny,High,2.420919344,17,Company B,110
246,Truck,Snowy,High,3.379166131,6,Company C,492
400,Air,Sunny,High,3.754619472,10,Company C,2000
182,Truck,Snowy,Medium,2.580723771,11,Company C,364
407,Air,Rainy,High,2.164021482,14,Company B,2035
308,Air,Snowy,Medium,2.596986196,16,Company B,1540
486,Truck,Sunny,High,3.344723716,13,Company C,972
72,Air,Snowy,Medium,2.657520255,6,Company A,360
102,Truck,Sunny,High,2.556224335,6,Company A,204
214,Ship,Sunny,High,2.368870381,19,Company B,321
251,Ship,Rainy,Low,2.995032854,13,Company B,376.5
132,Ship,Rainy,High,2.551897656,4,Company C,198
194,Ship,Sunny,High,3.462020698,8,Company B,291
134,Air,Snowy,Low,2.153244804,18,Company B,670
127,Truck,Sunny,Medium,3.328066066,20,Company C,254
415,Truck,Sunny,Low,2.475120029,19,Company C,830
50,Truck,Snowy,Low,2.978558522,2,Company B,100
100,Ship,Snowy,Medium,2.572179844,6,Company A,150
222,Ship,Snowy,High,3.445537352,3,Company B,333
254,Truck,Snowy,Medium,3.890614081,2,Company A,508
309,Ship,Sunny,High,3.834153559,8,Company A,463.5
495,Truck,Sunny,High,3.16685243,12,Company A,990
498,Truck,Rainy,Medium,2.925220607,12,Company C,996
418,Truck,Sunny,Low,3.636601019,19,Company C,836
337,Truck,Snowy,Medium,3.366652725,18,Company C,674
83,Truck,Rainy,High,2.367128228,3,Company B,166
397,Truck,Snowy,Medium,3.641838427,8,Company C,794
144,Truck,Sunny,Medium,2.857768779,8,Company C,288
121,Ship,Rainy,High,2.37797132,11,Company B,181.5
88,Truck,Snowy,Low,2.563594701,23,Company B,176
203,Truck,Rainy,Medium,2.53505406,22,Company A,406
299,Ship,Rainy,High,3.038413949,4,Company B,448.5
211,Ship,Sunny,High,2.468740181,13,Company B,316.5
487,Ship,Snowy,Medium,2.247132975,4,Company C,730.5
167,Truck,Rainy,Low,2.247381701,12,Company A,334
308,Air,Rainy,Medium,3.166552394,13,Company A,1540
428,Air,Snowy,Low,3.469518578,5,Company B,2140
355,Ship,Rainy,Low,2.643066018,17,Company C,532.5
317,Air,Rainy,Low,2.06930142,21,Company C,1585
498,Ship,Rainy,Low,2.254449774,19,Company C,747
103,Truck,Snowy,Medium,3.829389121,5,Company C,206
285,Air,Snowy,High,2.987087319,23,Company B,1425
438,Truck,Snowy,High,2.907145619,7,Company C,876
271,Air,Snowy,High,2.076098357,22,Company A,1355
300,Truck,Sunny,High,3.457274045,16,Company A,600
362,Air,Rainy,High,3.056136162,2,Company B,1810
450,Truck,Snowy,High,2.404161872,4,Company C,900
161,Truck,Rainy,Medium,2.22014752,6,Company C,322
304,Air,Rainy,Low,2.766775727,23,Company C,1520
352,Truck,Sunny,High,3.674323928,18,Company C,704
456,Truck,Snowy,Medium,3.730589118,15,Company B,912
256,Truck,Snowy,High,3.205692761,10,Company C,512
278,Air,Rainy,High,3.455072854,4,Company B,1390
390,Air,Snowy,Low,2.230311575,14,Company C,1950
447,Truck,Rainy,Low,3.176252131,4,Company C,894
115,Truck,Rainy,Low,3.333931407,12,Company A,230
124,Air,Sunny,High,2.401425686,3,Company B,620
484,Air,Sunny,High,3.760309466,16,Company A,2420
152,Truck,Sunny,High,2.389993475,14,Company B,304
471,Truck,Rainy,Low,2.62695472,20,Company C,942
241,Truck,Snowy,Medium,3.241113694,23,Company C,482
301,Ship,Sunny,High,3.27670013,17,Company B,451.5
275,Air,Snowy,High,3.398769482,19,Company A,1375
343,Ship,Sunny,High,2.224023426,8,Company B,514.5
